,,Avl etter fradrag av udsæden,,,,,,
Prestegjeld,Nr,Hvede,Rug,Byg,Blandkorn,Havre,Erter,Poteter
Vestre Moland,,26,129,1094,915,156,3,4952
Tvedt,,93,133,509,2125,123,,7199
Omblie,,,63,1481,911,11,,5391
Evje,,4,69,826,5251,1035,,10365
Bygland,,,34,3438,,,,7331
Valle,,,18,4704,,,,2819
Oddernæs,,315,130,457,1455,485,3,5338
Øvrebøe,,36,39,36,1039,712,,2514
Søgne,,28,142,118,2107,105,,3606
Mandals Landdistrict,,9,74,294,1842,272,,2826
Holme,,1,175,198,4131,1447,,6928
Bjelland,,2,11,303,4176,1658,,7491
Undal,,2,200,597,1522,5580,,9315
Lyngdal,,6,220,901,761,4244,,12521
Herrod og Spind,,,28,379,6,2280,,5252
Vandsøe,,2,128,1022,,3910,,8003
Nedre Qvinnesdal,,,75,196,15,2807,,6072
Øvre Qvinnesdal,,,74,409,794,2318,,8824
Bakke,,,44,788,16,5786,,11828
Flekkefjords Landdistrict,,,30,248,72,5552,,7295
Soggendals Landdistrict,,,29,488,12,6048,,5932
Lunde,,,69,448,25,4604,,7616
Helleland,,,162,691,,7388,,8424
Egersunds Landdistrict,,5,93,419,,5391,,3230
Haae,,,314,631,,7788,,2378
Lye,,18,394,696,9,6689,,5523
Klep,,3,315,589,606,6112,,4460
Høiland,,3,267,526,419,5238,,4186
Strand,,,,968,,5174,,5173
Haaland,,,148,507,1942,4360,,2661
Stavanger Landdistrict,,8,136,613,144,6011,,4174
Rennesøe,,1,17,266,,4183,,4077
Findøe,,1,5,485,9,3263,,2164
Hjelmeland,,,7,283,181,5078,,3895
Jelsøe,,,6,71,145,3861,,2076
Soledal,,,17,74,1189,1630,,2848
Vigedal,,,22,54,67,2920,,3045
Nærstrand,,7,33,175,16,3164,,2653
Skjold,,,,33,,4289,,3023
Skudesnæs,,,17,781,16,4767,,3939
Augvalsdnæs,,,,368,21,4042,,2020
Torvestad,,,,164,296,3550,,1715
Etne,,,10,73,33,4914,,2801
Skaanevig,,,,19,72,3057,,2272
Fjeldberg,,,8,85,54,6505,,5964
Findaas,,,,28,,4408,,5751
Storøen,,,8,30,41,4600,,5344
Tysnæs,,,,48,15,2685,,3738
Ous,,,,10,52,4955,,3051
Qvindherred,,,9,169,85,4287,,4760
Strandebarm,,,,99,191,3232,,1503
Wigøer,,,,198,181,2653,,2818
Graven,,,,1186,2705,,,7210
Kindservig,,,,2666,497,338,1,6270
Aarstad og Askøen,,,,21,8,1203,,1873
Sund,,,,4,,2554,,2689
Fanøe,,,,3,,2832,,5170
Houg,,,,,40,4043,,2580
Hammer,,,,,8,2638,,2825
Manger,,,,,,1866,,2460
Lindaas,,,,,,4022,,7830
Hosanger,,,,,,1957,,1584
Voss,,,100,44,16966,19,1,13474
Leirdal,,1,266,3514,,,1,15672
Lyster,,,132,4228,,,6,13766
Justedal,,,,389,,,,917
Hafsloe,,,79,4302,,6,,7875
Sogndal,,,180,4753,358,15,5,8738
Urland,,,12,1749,393,,7,6020
Leganger,,1,101,1976,888,1394,1,3634
Vig,,,31,1750,1499,99,,4538
Ladvig,,,,21,682,2496,,2310
Evindvig,,,,,825,5121,,4600
Askevold,,10,,20,51,5761,,3915
Yttre Holmedal,,,,5,27,5197,,3461
Indre Holmedal,,,15,,,4715,,2264
Førde,,,,48,40,7469,,8068
Jølster,,,6,73,,3274,,3132
Kind,,,,16,273,3294,,4594
Gloppen,,,5,1116,359,2890,,5496
Indvigen,,,30,3025,,3798,,5185
Eid,,4,39,1026,255,2029,,2549
Davig,,,,330,69,2220,,2056
Sælløe,,,,195,32,1865,,2407
Vandelven,,1,,90,174,1483,,1939
Herrøe,,,,528,537,4804,,4630
Ulssteen,,,,803,911,3595,,4429
Volden,,4,8,1701,970,7812,,6464
Jørringfjord,,,,178,60,2046,,947
Norddalen,,,39,2228,,2500,,1555
Stranden,,,,1808,28,3976,,1434
Ørskoug,,,8,1080,2536,3678,,3677
Borgund,,,6,2112,882,6926,,5994
Haram,,,,1645,224,3793,,3976
Grøtten,,1,33,1154,1055,5533,1,7435
Næsset,,2,6,548,327,5282,,5620
Vedøe,,4,12,828,394,8501,,5269
Bolsøe,,2,38,716,39,4464,,5970
Agerøe,,,4,644,,4180,,3425
Boe,,,,188,,1798,,986
Qværnæs,,,8,289,78,6320,,7307
Fredøe og Grip,,,,84,,1387,,563
Thingvold,,3,17,343,110,8792,,4476
Sunddalen,,,117,1569,1066,3591,,1706
Stangvig,,3,42,847,289,6579,,5450
Surendal,,,39,1715,1863,5371,,5022
Oure,,,30,478,,5438,6,2906
Edøen,,,7,280,207,1799,,1460
Melhuus,,7,136,1285,1481,12076,55,16760
Støren,,,156,2300,4146,7308,25,16046
Holtaalen,,,,1013,211,671,,2454
Røraas,,,,,,,,
Ørkedal,,,101,1417,1363,7534,,14063
Meldal,,,128,2889,5204,2856,,11046
Opdal,,,,8461,28,,,2681
Strinde,,38,187,3351,,7550,8,17832
Klæboe,,1,45,463,51,3400,7,6079
Bynæsset,,,42,746,219,5180,33,4335
Børsen,,,54,743,330,4612,69,17528
Sælboe,,,11,1089,457,3776,,7654
Stadsbygden,,,10,1106,107,4621,,8418
Hevne,,,119,346,374,6455,,5189
Hitteren,,,,240,2916,501,,2674
Ørlandet,,,14,2660,392,10023,,13464
Aafjorden,,,45,468,189,2228,1,3151
Bjørnøer,,,29,474,28,1810,,2512
Størdalen,,3,59,730,741,15439,77,19835
Frosten,,72,44,825,110,4867,52,12865
Lervigen,,5,8,656,3,2331,,6613
